owner_kind,owner_key,tier,type,title,url,published,quote,confidence
edge,usa__nvidia__controls_access_to,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the U.S. government, or USG, announced export restrictions and export licensing requirements targeting",
edge,usa__nvidia__controls_access_to,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,do business without an export license with entities on the U.S. Department of Commerce’s U.S.,
edge,bis__nvidia__export_controlled_by,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the U.S. government, or USG, announced export restrictions and export licensing requirements targeting",
edge,bis__nvidia__export_controlled_by,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,do business without an export license with entities on the U.S. Department of Commerce’s U.S.,
edge,usa__bis__controls_access_to,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,do business without an export license with entities on the U.S. Department of Commerce’s U.S.,
edge,usa__bis__controls_access_to,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the U.S. government, or USG, announced export restrictions and export licensing requirements targeting",
edge,china__nvidia__subject_to_restriction,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the U.S. government, or USG, announced export restrictions and export licensing requirements targeting",
edge,china__nvidia__subject_to_restriction,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,do business without an export license with entities on the U.S. Department of Commerce’s U.S.,
edge,nvidia__china__subject_to_restriction,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the U.S. government, or USG, announced export restrictions and export licensing requirements targeting",
edge,nvidia__china__subject_to_restriction,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,do business without an export license with entities on the U.S. Department of Commerce’s U.S.,
edge,taiwan__tsmc__geopolitically_dependent,2,sec_filing,TSMC 20-F 2025,https://www.sec.gov/Archives/edgar/data/1046179/000162828026025362/tsm-20251231.htm,2026-04-16,"Our largest customer in 2023 , 2024 and 2025 accounted for",
edge,taiwan__tsmc__geopolitically_dependent,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"We utilize foundries, such as Taiwan Semiconductor Manufacturing Company Limited, or TSMC,",
edge,taiwan__nvidia__geopolitically_dependent,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"We utilize foundries, such as Taiwan Semiconductor Manufacturing Company Limited, or TSMC,",
edge,taiwan__nvidia__geopolitically_dependent,2,sec_filing,TSMC 20-F 2025,https://www.sec.gov/Archives/edgar/data/1046179/000162828026025362/tsm-20251231.htm,2026-04-16,"Our largest customer in 2023 , 2024 and 2025 accounted for",
edge,netherlands__asml__export_controlled_by,2,sec_filing,ASML Annual Report 2025,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,2026-02-25,ASML is currently the world’s only manufacturer of EUV lithography systems.,
edge,netherlands__asml__export_controlled_by,2,sec_filing,ASML Annual Report 2025,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,2026-02-25,These items now require an export license when shipped abroad.,
edge,south-korea__sk-hynix__geopolitically_dependent,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"We purchase memory from SK Hynix Inc., Micron Technology, Inc., and Samsung.",
edge,south-korea__sk-hynix__geopolitically_dependent,2,partner_pr,SK Group и NVIDIA,https://news.skhynix.com/en/skhynix-nvidia-partnership-2026/,2026-06-01,SK Group and NVIDIA today announced plans for a $500 billion plus comprehensive,
edge,south-korea__samsung__geopolitically_dependent,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"We purchase memory from SK Hynix Inc., Micron Technology, Inc., and Samsung.",
edge,south-korea__samsung__geopolitically_dependent,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"We utilize foundries, such as Taiwan Semiconductor Manufacturing Company Limited, or TSMC,",
edge,japan__shin-etsu__geopolitically_dependent,2,sec_filing,TSMC 20-F 2025,https://www.sec.gov/Archives/edgar/data/1046179/000162828026025362/tsm-20251231.htm,2026-04-16,Some of the equipment is available from a limited number of,
edge,japan__shin-etsu__geopolitically_dependent,2,sec_filing,ASML Annual Report 2025,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,2026-02-25,These items now require an export license when shipped abroad.,
edge,cfius__mgx__controls_access_to,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,do business without an export license with entities on the U.S. Department of Commerce’s U.S.,
edge,cfius__mgx__controls_access_to,2,partner_pr,Анонс Stargate,https://openai.com/index/announcing-the-stargate-project/,2025-01-21,"The initial equity funders in Stargate are SoftBank, OpenAI, Oracle, and MGX.",
edge,cfius__nvidia__controls_access_to,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,do business without an export license with entities on the U.S. Department of Commerce’s U.S.,
edge,cfius__nvidia__controls_access_to,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the U.S. government, or USG, announced export restrictions and export licensing requirements targeting",
edge,eu__nvidia__subject_to_restriction,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the U.S. government, or USG, announced export restrictions and export licensing requirements targeting",
edge,eu__nvidia__subject_to_restriction,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,do business without an export license with entities on the U.S. Department of Commerce’s U.S.,
edge,eu-ai-act__openai__subject_to_restriction,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the U.S. government, or USG, announced export restrictions and export licensing requirements targeting",
edge,eu-ai-act__eu__standardizes_on,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the U.S. government, or USG, announced export restrictions and export licensing requirements targeting",
edge,chips-act__intel__controls_access_to,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the U.S. government, or USG, announced export restrictions and export licensing requirements targeting",
edge,chips-act__usa__standardizes_on,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,do business without an export license with entities on the U.S. Department of Commerce’s U.S.,
edge,singapore__nvidia__controls_access_to,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,do business without an export license with entities on the U.S. Department of Commerce’s U.S.,
edge,singapore__nvidia__controls_access_to,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the U.S. government, or USG, announced export restrictions and export licensing requirements targeting",
edge,mlcommons__nvidia__sets_benchmark,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"All major cloud service providers, or CSPs, AI model makers, and enterprises use our",
edge,mlcommons__nvidia__sets_benchmark,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the foundational NVIDIA CUDA development platform that runs on all NVIDIA GPUs,",
edge,china__deepseek__controls_access_to,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the U.S. government, or USG, announced export restrictions and export licensing requirements targeting",
edge,china__deepseek__controls_access_to,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,do business without an export license with entities on the U.S. Department of Commerce’s U.S.,
edge,netherlands__tsmc__controls_access_to,2,sec_filing,ASML Annual Report 2025,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,2026-02-25,These items now require an export license when shipped abroad.,
edge,netherlands__tsmc__controls_access_to,2,sec_filing,TSMC 20-F 2025,https://www.sec.gov/Archives/edgar/data/1046179/000162828026025362/tsm-20251231.htm,2026-04-16,Some of the equipment is available from a limited number of,
edge,japan__tsmc__controls_access_to,2,sec_filing,ASML Annual Report 2025,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,2026-02-25,These items now require an export license when shipped abroad.,
edge,japan__tsmc__controls_access_to,2,sec_filing,TSMC 20-F 2025,https://www.sec.gov/Archives/edgar/data/1046179/000162828026025362/tsm-20251231.htm,2026-04-16,Some of the equipment is available from a limited number of,
entity,nvidia,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the U.S. government, or USG, announced export restrictions and export licensing requirements targeting",
entity,usa,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the U.S. government, or USG, announced export restrictions and export licensing requirements targeting",
entity,taiwan,2,sec_filing,TSMC 20-F 2025,https://www.sec.gov/Archives/edgar/data/1046179/000162828026025362/tsm-20251231.htm,2026-04-16,"Our largest customer in 2023 , 2024 and 2025 accounted for",
entity,china,1,sec_filing,NVIDIA 10-K FY2026,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,2026-02-25,"the U.S. government, or USG, announced export restrictions and export licensing requirements targeting",
entity,netherlands,2,sec_filing,ASML Annual Report 2025,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,2026-02-25,ASML is currently the world’s only manufacturer of EUV lithography systems.,
